feature,value,shap_value
PAY_0,3,1.3855199
PAY_6,7,0.4230672
LIMIT_BAL,10000,0.32979622
BILL_AMT4,2300,0.2494339
PAY_2,2,0.22424363
BILL_AMT1,2300,0.19329397
PAY_AMT3,0,0.18405366
PAY_5,7,0.18355115
PAY_4,7,0.16280979
PAY_3,2,0.16262947
PAY_AMT2,0,0.15007934
PAY_AMT1,0,0.096611686
PAY_AMT4,0,0.047177985
PAY_AMT6,0,0.043202363
PAY_AMT5,0,0.04159007
AGE,30,-0.034880973
BILL_AMT2,2300,-0.032226607
MARRIAGE,2,-0.03182435
BILL_AMT6,2300,-0.03168048
EDUCATION,1,0.028659713
SEX,1,0.022941532
BILL_AMT3,2300,0.018935522
BILL_AMT5,2300,-0.017611392
