feature,value,shap_value
PAY_0,0,-0.565761
PAY_AMT6,23333,-0.39713624
PAY_AMT4,15000,0.29809895
BILL_AMT2,303701,0.26984352
PAY_AMT2,10500,-0.2692079
BILL_AMT1,305823,0.26173896
PAY_AMT3,10000,-0.20632748
BILL_AMT6,230925,0.20358548
BILL_AMT3,296384,0.17172074
BILL_AMT4,248801,0.12626448
PAY_AMT1,15000,-0.108673185
EDUCATION,1,-0.06101622
PAY_3,0,-0.052501027
PAY_AMT5,7844,-0.049187526
SEX,2,-0.048275225
PAY_2,0,-0.039507076
PAY_6,0,-0.030068744
LIMIT_BAL,290000,-0.028381994
AGE,25,0.025559748
PAY_4,0,-0.019226374
MARRIAGE,2,0.0191625
PAY_5,0,-0.017725931
BILL_AMT5,241983,0.005899314
